algorithm,fold,name,k,value,seed,dataset_id
LensKit.PopScorer-f4aa5539-33,,NDCG,10,0.11716464672277108,33,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,HR,10,0.6076352067868505,33,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,Recall,10,0.14649716372940105,33,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,NDCG,10,0.14742089748640688,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,HR,10,0.7529162248144221,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,Recall,10,0.205219747849652,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,NDCG,10,0.17476904399735685,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,HR,10,0.7635206786850477,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,Recall,10,0.22417352589674916,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,NDCG,10,0.11952521693661076,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,HR,10,0.6362672322375398,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,Recall,10,0.14388013600632882,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,NDCG,10,0.14194221136766416,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,HR,10,0.7444326617179216,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,Recall,10,0.19385404568331333,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-22,,NDCG,10,0.1775656660699049,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-22,,HR,10,0.7751855779427359,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-22,,Recall,10,0.2298974061169178,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-22,,NDCG,10,0.11586177117074373,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-22,,HR,10,0.623541887592789,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-22,,Recall,10,0.1406874379302797,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-33,,NDCG,10,0.1416207273755031,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-33,,HR,10,0.7539766702014846,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-33,,Recall,10,0.19834073961857587,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-33,,NDCG,10,0.1787480925066382,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-33,,HR,10,0.7709437963944857,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-33,,Recall,10,0.2289080779006544,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,NDCG,10,0.11716464672277108,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,HR,10,0.6076352067868505,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,Recall,10,0.14649716372940105,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-44,,NDCG,10,0.137568084353854,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-44,,HR,10,0.7550371155885471,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-44,,Recall,10,0.1935190796007333,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-44,,NDCG,10,0.18416472048742186,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-44,,HR,10,0.7635206786850477,44,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-44,,Recall,10,0.22730310222356864,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-44,,NDCG,10,0.11546449369860634,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-44,,HR,10,0.6171792152704135,44,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-44,,Recall,10,0.14144952784931564,44,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,NDCG,10,0.14742089748640688,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,HR,10,0.7529162248144221,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,Recall,10,0.205219747849652,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,NDCG,10,0.17476904399735685,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,HR,10,0.7635206786850477,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,Recall,10,0.22417352589674916,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,NDCG,10,0.11952521693661076,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,HR,10,0.6362672322375398,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,Recall,10,0.14388013600632882,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,NDCG,10,0.14194221136766416,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,HR,10,0.7444326617179216,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,Recall,10,0.19385404568331333,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-22,,NDCG,10,0.1775656660699049,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-22,,HR,10,0.7751855779427359,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-22,,Recall,10,0.2298974061169178,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-22,,NDCG,10,0.11586177117074373,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-22,,HR,10,0.623541887592789,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-22,,Recall,10,0.1406874379302797,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-33,,NDCG,10,0.1416207273755031,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-33,,HR,10,0.7539766702014846,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-33,,Recall,10,0.19834073961857587,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-33,,NDCG,10,0.1787480925066382,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-33,,HR,10,0.7709437963944857,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-33,,Recall,10,0.2289080779006544,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,NDCG,10,0.11716464672277108,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,HR,10,0.6076352067868505,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-33,,Recall,10,0.14649716372940105,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-44,,NDCG,10,0.137568084353854,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-44,,HR,10,0.7550371155885471,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-44,,Recall,10,0.1935190796007333,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-44,,NDCG,10,0.18416472048742186,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-44,,HR,10,0.7635206786850477,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-44,,Recall,10,0.22730310222356864,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-44,,NDCG,10,0.11546449369860634,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-44,,HR,10,0.6171792152704135,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-44,,Recall,10,0.14144952784931564,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-55,,NDCG,10,0.14313864988587452,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-55,,HR,10,0.7391304347826086,55,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-55,,Recall,10,0.19119030786581093,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-55,,NDCG,10,0.17901175628217775,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-55,,HR,10,0.7688229056203606,55,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-55,,Recall,10,0.22780050160750007,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-55,,NDCG,10,0.12098329276366955,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-55,,HR,10,0.6447507953340403,55,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-55,,Recall,10,0.14841227760103654,55,MovieLens100K-08d57673
