algorithm,NDCG@10_mean,NDCG@10_std,NDCG@10_min,NDCG@10_max,Recall@10_mean,Recall@10_std,Recall@10_min,Recall@10_max,HR@10_mean,HR@10_std,HR@10_min,HR@10_max
ALS,0.1372766654949979,0.0031445078014841854,0.13304106941718966,0.14181998744624297,0.192413944015216,0.003839223268477438,0.1870432089414058,0.1977945260819064,0.7435843054082715,0.008193613477023036,0.7348886532343585,0.7571580063626723
ItemKNN,0.17890951899363466,0.0022016222549146175,0.17561384032793625,0.18104520325950235,0.22644843373899542,0.0042658360692503575,0.22137512834755643,0.23315112188388945,0.7618239660657476,0.016625673465337054,0.7454931071049841,0.7879109225874867
Pop,0.12124345770874675,0.0013995190237129146,0.11908049734056257,0.1225653741083829,0.14622321533774324,0.00435184455546836,0.14144279486273115,0.1520249457152954,0.6358430540827147,0.015451238789865582,0.6150583244962884,0.6521739130434783
